tailid,email,name_nb,name_nn,name_en,url_nb,url_en,orgstructid,orgid,kommunenummer,parentid
26002,postmottak@holmestrand.kommune.no,Holmestrand kommune,Holmestrand kommune,Holmestrand Municipality,http://www.holmestrand.kommune.no/,,66,838500382,0702,
26003,epost@holtalen.kommune.no,Holtålen kommune,Holtålen kommune,Holtålen Municipality,http://www.holtalen.com/,http://www.holtalen.com/Information-in-English/,66,937697767,1644,
26004,hfk@hfk.no,Hordaland fylkeskommune,Hordaland fylkeskommune,Hordaland County Administration,http://www.hordaland.no,http://www.hordaland.no/default.aspx?id=959,59,938626367,1200,
43423,post@piv.no,BUPA poliklinikk Tønsberg,BUPA poliklinikk Tønsberg,"Mental health clinic for children and adolescents, Tønsberg",http://www.piv.no/index.php?option=com_content&view=article&id=54&Itemid=81,,39,,,32251
26006,post.hordaland@politiet.no,Hordaland politidistrikt,Hordaland politidistrikt,Hordaland Police District,https://www.politi.no/hordaland/,https://www.politi.no/international/,39,983998461,,29872
26007,post@hornindal.kommune.no,Hornindal kommune,Hornindal kommune,Hornindal Municipality,http://www.hornindal.kommune.no,http://www.hornindal.kommune.no/Artikkel.aspx?AId=50&back=1&MId1=1&,66,,1444,
26008,mailto@jrcc-bodoe.no,Hovedredningssentralen Nord-Norge,Hovedredningssentralen Nord-Norge,"Joint Rescue Coordination Centre, Northern Norway",http://www.hovedredningssentralen.no/,http://www.hovedredningssentralen.no/english/index.asp,39,971390425,,26888
43424,post@piv.no,"BUPA poliklinikk Horten, Stokke, Andebu","BUPA poliklinikk Horten, Stokke, Andebu","Mental health clinic for children and adolescents Horten, Stokke, Andebu",http://www.piv.no/index.php?option=com_content&view=article&id=167&Itemid=193,,39,,,32254
26010,postmottak@hurdal.kommune.no,Hurdal kommune,Hurdal kommune,Hurdal Municipality,http://www.hurdal.kommune.no/,,66,939780777,0239,
26011,postmottak@hurum.kommune.no,Hurum kommune,Hurum kommune,Hurum Municipality,http://www.hurum.kommune.no,,66,964963193,0628,
26012,firmapost.vest@husbanken.no,"Husbanken, Region vest","Husbanken, Region vest",Norwegian State Housing Bank - Regional Office Vest,http://www.husbanken.no/om-husbanken/kontakt-oss/kontakt-vest/,http://www.husbanken.no/english/,39,,,25109
26013,post@imr.no,Havforskningsinstituttet,Havforskingsinstituttet,Institute of Marine Research,http://www.imr.no/,http://www.imr.no/english/,38,971349077,,26659
26014,postmottak@hedmark.org,Hedmark fylkeskommune,Hedmark fylkeskommune,Hedmark County Administration,http://www.hedmark.org,http://www.hedmark.org/Hedmark-fylkeskommune/Om-fylkeskommunen/English,59,942116217,0400,
39022,,Sunndal forliksråd,Sunndal forliksråd,Surnadal Conciliation Board,http://www.forliksraadet.no/index.php,,281,,,42202
43425,post@piv.no,BUPA poliklinikk Søndre Vestfold (Larvik),BUPA poliklinikk Søndre Vestfold,Mental health clinic for children and adolescents Søndre Vestfold,http://www.piv.no/index.php?option=com_content&view=article&id=55&Itemid=82,,39,,,32251
27822,konkursraadet@jd.dep.no,Konkursrådet,Konkursrådet,Norwegian Advisory Council on Bankruptcy,http://www.konkursradet.no/,http://www.konkursradet.no/English/,42,,,26888
35224,eures@nav.no,NAV EURES Rogaland,NAV EURES Rogaland,European Employment Services (EURES) in Rogaland,http://www.nav.no/page?id=948,http://www.nav.no/English,36,,,26056
43426,post@piv.no,BUPA poliklinikk Nordre Vestfold,BUPA poliklinikk Nordre Vestfold,"Mental health clinic for children and adolescents, Nordre Vestfold",http://www.piv.no/index.php?option=com_content&view=article&id=53&Itemid=80,,39,,,32251
27885,goa@gjeld.org,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,http://www.gjeldsoffer-alliansen.no,,81,971276258,,
27886,noas@noas.org,NOAS - Norsk organisasjon for asylsøkere,NOAS - Norsk organisasjon for asylsøkere,Norwegian Organisation for Asylum Seekers ,http://www.noas.org/,http://www.noas.org/?p=news&news_id=66,81,975265773,,
27887,,Organisasjonen mot offentlig diskriminering ,Organisasjonen mot offentlig diskriminering ,Institution against Public Discrimination,http://www.omod.no/,http://www.omod.no/index.php?page=1,81,971276576,,
27888,post@jussformidlingen.no,Jussformidlingen i Bergen,Jussformidlingen i Bergen,Jussformidlingen i Bergen,http://www.jussformidlingen.no/,http://www.jussformidlingen.no/innhold/00a5_english.htm,82,,,
27889,,Jusshjelpa i Nord-Norge,Jusshjelpa i Nord-Norge,Jusshjelpa i Nord-Norge,http://jusshjelpa.no/,http://jusshjelpa.no/english/,82,989974645,,
27901,olafia@rikshospitalet.no,Olafiaklinikken,Olafiaklinikken,Olafiaklinikken,http://www.oslo-universitetssykehus.no/omoss/avdelinger/olafiaklinikken/Sider/enhet.aspx,,39,,,32246
43427,postmottak@sykehuset-innlandet.no,BUP Gran,BUP Gran,Mental health clinic for children and adolescents Gran,http://www.sykehuset-innlandet.no/modules/module_123/proxy.asp?D=2&C=336&I=23023,,39,,,32263
43428,bup-gjovik-kontor@sykehuset-innlandet.no,Barne- og ungdomspsykiatrisk poliklinikk Gjøvik,Barne- og ungdomspsykiatrisk poliklinikk Gjøvik,Mental health clinic for children and adolescents Gjøvik,http://www.sykehuset-innlandet.no/omoss/avdelinger/barne--og-ungdomspsykiatri-bup/Sider/enhet.aspx,,39,,,32263
35243,nav.kontaktsenter@nav.no,NAV på Svalbard,NAV på Svalbard,NAV Svalbard,http://www.nav.no/187596.cms,http://www.nav.no/page?id=805312736,37,,,24248
43429,bup.lillehammer@sykehuset-innlandet.no,BUP Lillehammer,BUP  Lillehammer,Mental health clinic for children and adolescents Lillehammer,http://www.sykehuset-innlandet.no/omoss/avdelinger/bup-lillehammer/Sider/enhet.aspx,,39,,,32263
27096,post@gronnhverdag.no,Grønn Hverdag,Grønn Hverdag,Grønn Hverdag,http://www.gronnhverdag.no/,,81,970941959,,
27103,huseby@statped.no,Huseby kompetansensenter,Huseby kompetansensenter,Huseby Special Needs Resource Centre,http://www.statped.no/Kompetansesentre/Huseby-kompetansesenter/,http://www.statped.no/Spraksider/In-English/,39,974762773,,26582
27109,post@sexogsamfunn.no,"Sex og samfunn, senter for ung seksualitet","Sex og samfunn, senter for ung seksualitet","Sex og samfunn, senter for ung seksualitet",http://www.sexogsamfunn.no,,81,913650786,,
27008,postmottak@agdenes.kommune.no,Agdenes kommune,Agdenes kommune,Agdenes Municipality,http://www.agdenes.kommune.no/,,66,840098222,1622,
27014,postmottak@austagderfk.no,Aust-Agder fylkeskommune,Aust-Agder fylkeskommune,Aust-Agder County Administration,http://www.austagderfk.no,http://www.austagderfk.no/Information-in-English/,59,,0900,
27015,postmottak@bfk.no,Buskerud fylkeskommune,Buskerud fylkeskommune,Buskerud County Administration,http://www.bfk.no,http://www.bfk.no/Buskerud-County-Municipality/,59,964951373,0600,
27016,post@aremark.kommune.no,Aremark kommune,Aremark kommune,Aremark Municipality,http://www.aremark.kommune.no/,,66,940875560,0118,
27017,postmottak@askim.kommune.no,Askim kommune,Askim kommune,Askim Municipality,http://www.askim.kommune.no,,66,840894312,0124,
27018,postmottak@alvdal.kommune.no,Alvdal kommune,Alvdal kommune,Alvdal Municipality,http://www.alvdal.kommune.no,,66,939984194,0438,
27019,postmottak@etnedal.kommune.no,Etnedal kommune,Etnedal kommune,Etnedal Municipality,http://www.etnedal.kommune.no/,http://www.etnedal.kommune.no/artikkel.aspx?AId=514&back=1&MId1=482,66,933038173,0541,
26288,post@aukra.kommune.no,Aukra kommune,Aukra kommune,Aukra Municipality,http://www.aukra.kommune.no/,https://www.aukra.kommune.no/Modules/Page/viewPage.asp?modid=4435&level=4435,66,964981337,1547,
26289,postmottak@aure.kommune.no,Aure kommune,Aure kommune,Aure Municipality,http://www.aure.kommune.no/,http://www.aure.kommune.no/artikkel.aspx?MId1=551&AId=1481&back=1,66,988913898,1576,
26290,postmottak@ahk.no,Aurskog-Høland kommune,Aurskog-Høland kommune,Aurskog-Høland Municipality,http://www.aurskog-holand.kommune.no/,http://www.aurskog-holand.kommune.no/artikler/english,66,948164256,0221,
41187,nav.kontaktsenter@nav.no,NAV Gjesdal,NAV Gjesdal,NAV Gjesdal ,http://www.nav.no/Lokalt/Rogaland,http://www.nav.no/page?id=805312736,37,,,26056
26293,postmottak@balestrand.kommune.no,Balestrand kommune,Balestrand kommune,Balestrand Municipality,http://www.balestrand.kommune.no,http://www.balestrand.kommune.no/in-english.170516.nn.html,66,,1418,
26294,post@ballangen.kommune.no,Ballangen kommune,Ballangen kommune,Ballangen Municipality,http://www.ballangen.kommune.no/,,66,945152931,1854,
26295,postmottak@bamble.kommune.no,Bamble kommune,Bamble kommune,Bamble Municipality,http://www.bamble.kommune.no/,http://www.bamble.kommune.no/Organisasjon/Administrasjon-og-organisasjonsutvikling/Personal-HMS-informasjon-og-organisasjonsutvikling/Informasjon/Contact-information/,66,940244145,0814,
26297,post@arbeidstilsynet.no,"Arbeidstilsynet Midt-Norge, tilsynskontor Ålesund ","Arbeidstilsynet Midt-Norge, tilsynskontor Ålesund ","Labour Inspection Authority Midt-Norge, Ålesund office",http://www.arbeidstilsynet.no/,http://www.arbeidstilsynet.no/om/engelsk.html,36,,,40662
26300,abtingrett@domstol.no,Asker og Bærum tingrett,Asker og Bærum tingrett,Asker and Bærum District Court,http://www.domstol.no/abtingrett,http://www.domstol.no/en/Enkelt-domstol/Asker-and-Barum-District-Court/,19,,,40948
26301,post.askerogbaerum@politiet.no,Asker og Bærum politidistrikt,Asker og Bærum politidistrikt,Asker og Bærum Police District,https://www.politi.no/kontakt_oss/kontakt_ditt_politidistrikt/,https://www.politi.no/international/,39,947131613,,29872
26302,emb.bangkok@mfa.no,"Ambassaden i Thailand, Bangkok (Kambodsja, Myanmar)","Ambassaden i Thailand, Bangkok (Kambodsja, Myanmar)","Royal Norwegian Embassy in Thailand (Cambodia, Myanmar)",http://www.emb-norway.or.th/Norsk/,http://www.emb-norway.or.th/,76,,,26375
26303,emb.beijing@mfa.no,"Ambassaden i Kina, Beijing (Mongolia, Hong Kong, Macau)","Ambassaden i Kina, Beijing (Mongolia, Hong Kong, Macau)",Royal Norwegian Embassy in China (Mongolia),http://www.norway.cn/Norsk/,http://www.norway.cn/,76,,,26375
26304,emb.belgrade@mfa.no,"Ambassaden i Serbia, Beograd (Montenegro)","Ambassaden i Serbia, Beograd (Montenegro)","Royal Norwegian Embassy in Serbia, Beograd (Montenegro)",http://www.norveska.org.rs/Norsk/,http://www.norveska.org.rs/,76,,,26375
26306,bergen.tingrett@domstol.no,Bergen tingrett,Bergen tingrett,Bergen District Court,http://www.domstol.no/bergen,http://www.domstol.no/en/Enkelt-domstol/Alstahaug-District-Court/,19,,,40948
26309,emb.berlin@mfa.no,"Ambassaden i Tyskland, Berlin","Ambassaden i Tyskland, Berlin",Royal Norwegian Embassy in Germany,http://www.norwegen.no/Norsk/,,76,,,26375
26310,emb.bern@mfa.no,"Ambassaden i Sveits, Bern (Liechtenstein)","Ambassaden i Sveits, Bern (Liechtenstein)",Royal Norwegian Embassy in Switzerland (Liechtenstein),http://www.amb-norwegen.ch/Norsk/,,76,,,26375
26311,postmottak@birkenes.kommune.no,Birkenes kommune,Birkenes kommune,Birkenes Municipality,http://www.birkenes.kommune.no/,http://www.birkenes.kommune.no/Hvis-du-vil-flytte-til-Birkenes/Welcome-to-Birkenes/,66,964965870,0928,
26313,studinfo@ansa.no,ANSA,ANSA,Association of Norwegian Students Abroad,http://www.ansa.no/,http://www.ansa.no/Spraksider/ANSA_in_English/,81,970168907,,
26314,raudt@raudt.no,Rødt,Rødt,Red Party,http://roedt.no,,81,971491450,,
24729,nav.kontaktsenter@nav.no,NAV Giske,NAV Giske,NAV Giske,http://www.nav.no/Lokalt/M%C3%B8re+og+Romsdal,http://www.nav.no/page?id=805312736,37,,,26065
24730,nav.kontaktsenter@nav.no,NAV Gjemnes ,NAV Gjemnes ,NAV Gjemnes,http://www.nav.no/Lokalt/M%C3%B8re+og+Romsdal,http://nav.no/page?id=805312736,37,,,26065
24732,nav.gjerdrum@nav.no,NAV Gjerdrum ,NAV Gjerdrum ,NAV Gjerdrum ,http://www.nav.no/Lokalt/Akershus,http://www.nav.no/English,37,,,26094
24733,nav.gjerstad@nav.no,NAV Gjerstad ,NAV Gjerstad ,NAV Gjerstad ,http://www.nav.no/Lokalt/Aust-Agder,http://nav.no/page?id=805312736,37,,,26095
23973,,Skatt Midt-Norge Surnadal,Skatt Midt-Norge Surnadal,Surnadal Tax Office,http://www.skatteetaten.no/no/,http://www.skatteetaten.no/en/International-pages/,37,,,40183
40762,post.ostfinnmark@politiet.no,Berlevåg lensmannskontor,Berlevåg lensmannskontor,Berlevåg Police Station (lensmann) ,https://www.politi.no/kontakt_oss/kontakt_ditt_politidistrikt/kontakt_ostfinnmark/KontaktInfo_404.xhtml,https://www.politi.no/international/,39,,,25323
26060,nav.troms@nav.no,NAV Troms ,NAV Troms ,NAV Troms office ,http://www.nav.no/page?id=1073743400,http://www.nav.no/English,36,974652293,,26549
32881,postmottak@domstoladministrasjonen.no,Domstoladministrasjonen ,Domstoladministrasjonen ,National Courts Administration,http://www.domstoladministrasjonen.no./default____3104.aspx,http://www.domstol.no/default____2916.aspx?epslanguage=EN,58,,,
22672,biblioteket@meraker.kommune.no,Meråker bibliotek,Meråker bibliotek,Meråker  Public Library,http://www.meraker.kommune.no/index.asp?startID=&topExpand=&subExpand=&strUrl=//applications/system/publish/view/showobject.asp?infoobjectid=1008256&menuid=1001198,,73,,,25827
22673,bibliotek@mosvik.kommune.no,Mosvik bibliotek,Mosvik bibliotek,Mosvik  Public Library,http://www.mosvik.kommune.no/sitepageview.aspx?sitePageID=1213,,73,,,25939
22674,biblioteket@namdalseid.kommune.no,Namdalseid folkebibliotek,Namdalseid folkebibliotek,Namdalseid  Public Library,http://www.namdalseid.kommune.no/bibliotek.122404.no.html,,73,,,25820
22675,biblioteket@namsos.kommune.no,Namsos folkebibliotek,Namsos folkebibliotek,Namsos  Public Library,http://www.namsos.kommune.no/bibliotek/index.html,,73,,,22676
22677,biblioteket@naroy.kommune.no,Nærøy folkebibliotek,Nærøy folkebibliotek,Nærøy  Public Library,http://www.naroy.kommune.no/NK/Web.nsf/membersVirk?OpenForm&S=ASKUL&U=54893C3A2B4301B2C1257059002D50F4,,73,,,25713
22678,biblioteket@overhalla.kommune.no,Overhalla folkebibliotek,Overhalla folkebibliotek,Overhalla  Public Library,http://www.overhalla.kommune.no/bibliotek/,,73,,,25660
22679,jorunn.vollmo@royrvik.kommune.no,Røyrvik bibliotek,Røyrvik bibliotek,Røyrvik  Public Library,http://www.royrvik.kommune.no/Apps/OTIIN/INTERNETT/otiinbip.nsf/id/34D604B5C1A27FDDC1257276003E7D5D?OpenDocument,,73,,,25607
22680,biblioteket@snasa.kommune.no,Snåsa bibliotek,Snåsa bibliotek,Snåsa Public Library,http://fylkesbiblioteket.ntfk.no/wshow.aspx?a=951,,73,,,25515
22681,biblioteket@steinkjer.kommune.no,Steinkjer folkebibliotek,Steinkjer folkebibliotek,Steinkjer Public Library,http://steinkjer.folkebibl.no/,,73,,,25386
22682,folkebiblioteket@stjordal.kommune.no,Stjørdal folkebibliotek,Stjørdal folkebibliotek,Stjørdal  Public Library,http://www.stjordal.kommune.no/index.asp?strURL=1000348i&channelid=1000208,,73,,,25388
22683,biblioteket@verdal.kommune.no,Verdal bibliotek,Verdal bibliotek,Verdal  Public Library,http://verdal.kommune.no/Bibliotek/,,73,,,25253
22685,nordland.fylkesbibliotek@nfk.no,"Nordland fylkesbibliotek, avd. Narvik","Nordland fylkesbibliotek, avd. Narvik","Nordland County Library, Narvik branch",http://nordland.fylkesbibl.no/,,64,,,25772
22686,nordland.fylkesbibliotek@nfk.no,"Nordland fylkesbibliotek, avd. Rana","Nordland fylkesbibliotek, avd. Rana","Nordland County Library, Rana branch",http://www.nordland.fylkesbibl.no/,,64,,,25772
22687,marc.drees@snillfjord.kommune.no,Snillfjord folkebibliotek,Snillfjord folkebibliotek,Snillfjord  Public Library,http://www.snillfjord.kommune.no/bibliotektilbudet.4549050-95613.html,,73,,,25514
22688,post@tfb.no,Trondheim folkebibliotek,Trondheim folkebibliotek,Trondheim Public Library,http://www.tfb.no,,73,,,25301
22689,tydal.bibliotek@tydal.kommune.no,Tydal bibliotek,Tydal bibliotek,Tydal Public Library,http://www.tydal.kommune.no/Default.asp?WCI=DisplayGroup&WCE=332&DGI=332,,73,,,25286
22526,post@kslmatmerk.no,Matmerk,Matmerk,Matmerk,http://www.matmerk.no,http://www.matmerk.no/seksjoner/english,55,990675627,,
22527,postmottak-8215@kriminalomsorg.no,Kriminalomsorgen Ullersmo fengsel,Kriminalomsorgen Ullersmo fengsel,Ullersmo Prison Service,http://www.kriminalomsorgen.no/index.php?id=329389,http://www.kriminalomsorgen.no/index.php?id=432819,39,,,31205
22528,postmottak-8115@kriminalomsorg.no,"Kriminalomsorgen Bredtveit fengsel, forvarings- og sikringsanstalt","Kriminalomsorgen Bredtveit fengsel, forvarings- og sikringsanstalt","Bredtveit Prison Service, custody and supervision unit",http://www.kriminalomsorgen.no/index.php?id=333491,http://www.kriminalomsorgen.no/index.php?id=432819,39,,,22103
22529,postmottak-8210@kriminalomsorg.no,"Kriminalomsorgen Ila fengsel, forvarings- og sikringsanstalt","Kriminalomsorgen Ila fengsel, forvarings- og sikringsanstalt","Ila Prison Service, custody and supervision unit",http://www.kriminalomsorgen.no/index.php?id=331362,http://www.kriminalomsorgen.no/index.php?id=432819,39,,,31205
22530,postmottak.bastoy-fengsel@kriminalomsorg.no,Kriminalomsorgen Bastøy fengsel,Kriminalomsorgen Bastøy fengsel,Bastøy Prison Service,http://www.kriminalomsorgen.no/index.php?id=331284,http://www.kriminalomsorgen.no/index.php?id=432819,39,,,31204
22531,bergen.fengsel@kriminalomsorgen.no,Kriminalomsorgen Bergen fengsel,Kriminalomsorgen Bergen fengsel,Bergen Prison Service,http://www.bergenfengsel.no/,http://www.kriminalomsorgen.no/index.php?id=432819,39,,,31202
22534,post@finanstilsynet.no,Finanstilsynet,Finanstilsynet,Financial Supervisory Authority of Norway,http://www.finanstilsynet.no/,http://www.finanstilsynet.no/en/,33,840747972,,20536
22539,firmapost-nord@vegvesen.no,Storslett trafikkstasjon,Storslett trafikkstasjon,Storslett Traffic Services Office,http://www.vegvesen.no/Om+Statens+vegvesen/Kontakt/Kontakt+oss/Trafikkstasjoner,http://www.vegvesen.no/en/The+NPRA/Contact+us/Contact+information/56794.cms,37,,,33761
22540,firmapost-nord@vegvesen.no,Mo i Rana trafikkstasjon,Mo i Rana trafikkstasjon,Mo Traffic Services Office,http://www.vegvesen.no/Om+Statens+vegvesen/Kontakt/Kontakt+oss/Trafikkstasjoner,http://www.vegvesen.no/en/The+NPRA/Contact+us/Contact+information/56794.cms,37,,,33761
22542,firmapost-nord@vegvesen.no,Tromsø trafikkstasjon,Tromsø trafikkstasjon,Tromsø Traffic Services Office,http://www.vegvesen.no/Om+Statens+vegvesen/Kontakt/Kontakt+oss/Trafikkstasjoner,http://www.vegvesen.no/en/The+NPRA/Contact+us/Contact+information/56794.cms,37,,,33761
25374,sakristiansand@arkivverket.no,Statsarkivet i Kristiansand,Statsarkivet i Kristiansand,Regional State Archives in Kristiansand,http://www.arkivverket.no/kristiansand/,http://www.arkivverket.no/eng,36,,,26520
25375,saoslo@arkivverket.no,Statsarkivet i Oslo,Statsarkivet i Oslo,Regional State Archives in Oslo,http://www.arkivverket.no/oslo/,http://www.arkivverket.no/eng,36,,,26520
25376,sastavanger@arkivverket.no,Statsarkivet i Stavanger,Statsarkivet i Stavanger,Regional State Archives in Stavanger,http://www.arkivverket.no/stavanger/,http://www.arkivverket.no/eng,36,,,26520
25377,satromso@arkivverket.no,Statsarkivet i Tromsø,Statsarkivet i Tromsø,Regional State Archives in Tromsø,http://www.arkivverket.no/tromso/,http://www.arkivverket.no/eng,36,,,26520
25378,satrondheim@arkivverket.no,Statsarkivet i Trondheim,Statsarkivet i Trondheim,Regional State Archives in Trondheim,http://www.arkivverket.no/trondheim/,http://www.arkivverket.no/eng,36,,,26520
25379,postmottak.EN@statsbygg.no,"Statsbygg, region nord","Statsbygg, region nord",Statsbygg Northern Norway,http://www.statsbygg.no,http://www.statsbygg.no/english/,44,,,26698
25380,postmottak.EV@statsbygg.no,"Statsbygg, region vest","Statsbygg, region vest",Statsbygg Western Norway,http://www.statsbygg.no/,http://www.statsbygg.no/english/,44,,,26698
25381,post@statskog.no,Statskog SF,Statskog SF,"Statskog SF, the State-owned Land and Forest Company (HQ)",http://www.statskog.no/,http://www.statskog.no/en/Sider/default.aspx,49,,,20537
25382,stavanger.tingrett@domstol.no,Stavanger tingrett,Stavanger tingrett,Stavanger District Court,http://www.domstol.no/stavanger,http://www.domstol.no/en/Enkelt-domstol/Stavanger-District-Court-/,19,,,40948
25383,postmottak@stavanger.kommune.no,Stavanger kommune,Stavanger kommune,Stavanger Municipality,http://www.stavanger.kommune.no/,http://www.stavanger.kommune.no/English/,66,939508295,1103,
25384,post.rogaland@politiet.no,Stavanger politistasjon,Stavanger politistasjon,Stavanger Police Station ,https://www.politi.no/rogaland/kontakt_rogaland/KontaktInfo_203.xhtml,https://www.politi.no/international/,39,,,25652
25385,postmottak@steigen.kommune.no,Steigen kommune,Steigen kommune,Steigen Municipality,http://www.steigen.kommune.no/,,66,962299385,1848,
25386,postmottak@steinkjer.kommune.no,Steinkjer kommune,Steinkjer kommune,Steinkjer Municipality,http://www.steinkjer.kommune.no,http://www.steinkjer.kommune.no/in-english.139866.no.html,66,840029212,1702,
25387,info@svanemerket.no,Miljømerking i Norge,Miljømerking i Noreg,Norwegian Foundation for Environmental Labelling,http://www.ecolabel.no,http://www.nordic-ecolabel.org/,55,971279362,,27125
25388,postmottak@stjordal.kommune.no,Stjørdal kommune,Stjørdal kommune,Stjørdal Municipality,http://www.stjordal.kommune.no/,,66,939958851,1714,
25389,emb.stockholm@mfa.no,"Ambassaden i Sverige, Stockholm","Ambassaden i Sverige, Stockholm",Royal Norwegian Embassy in Sweden,http://www.norge.se/,,76,,,26375
24697,nav.kontaktsenter@nav.no,NAV Grue,NAV Grue,NAV Grue ,http://www.nav.no/Lokalt/Hedmark,http://www.nav.no/page?id=805312736,37,,,26063
24699,nav.gulen@nav.no,NAV Gulen,NAV Gulen,NAV Gulen,http://www.nav.no/805321653.cms,http://www.nav.no/page?id=805312736,37,,,26057
24701,nav.kontaktsenter@nav.no,NAV Hadsel ,NAV Hadsel ,NAV Hadsel ,http://www.nav.no/Lokalt/Nordland,http://www.nav.no/page?id=805312736,37,,,26052
24702,nav.kontaktsenter@nav.no,NAV Halden,NAV Halden,NAV Halden,http://www.nav.no/Lokalt/%C3%98stfold,http://www.nav.no/page?id=805312736,37,,,26066
24703,nav.kontaktsenter@nav.no,NAV Halsa ,NAV Halsa ,NAV Halsa  ,http://www.nav.no/Lokalt/M%C3%B8re+og+Romsdal,http://www.nav.no/page?id=805312736,37,,,26065
24704,nav.kontaktsenter@nav.no,NAV Hamar ,NAV Hamar ,NAV Hamar ,http://www.nav.no/Lokalt/Hedmark,http://nav.no/page?id=1073743655,37,,,26063
24705,nav.kontaktsenter@nav.no,NAV Hamarøy ,NAV Hamarøy ,NAV Hamarøy ,http://www.nav.no/Lokalt/Nordland,http://www.nav.no/page?id=805312736,37,,,26052
24707,nav.kontaktsenter@nav.no,NAV Haram ,NAV Haram ,NAV Haram ,http://www.nav.no/Lokalt/M%C3%B8re+og+Romsdal,http://nav.no/page?id=805312736,37,,,26065
24708,nav.kontaktsenter@nav.no,NAV Hareid ,NAV Hareid ,NAV Hareid,http://www.nav.no/Lokalt/M%C3%B8re+og+Romsdal,http://nav.no/page?id=805312736,37,,,26065
24711,nav.kontaktsenter@nav.no,NAV Hasvik,NAV Hasvik,NAV Hasvik ,http://www.nav.no/Lokalt/Finnmark,http://nav.no/page?id=1073743655,37,,,26097
24713,nav.kontaktsenter.ostfold@nav.no,NAV Arbeidsrådgivning Østfold,NAV Arbeidsrådgivning Østfold,NAV Career Advice Office (Østfold),http://nav.no/805320816.cms,http://nav.no/page?id=1073743655,36,,,26066
26048,post@hasvik.kommune.no,Hasvik kommune,Hasvik kommune,Hasvik Municipality,http://www.hasvik.kommune.no/,http://www.hasvik.kommune.no/english.195831.no.html,66,,2015,
26049,post@hattfjelldal-kommune.no,Hattfjelldal kommune,Hattfjelldal kommune,Hattfjelldal Municipality,http://www.hattfjelldal.kommune.no/,,66,944716904,1826,
26050,postmottak@haugesund.kommune.no,Haugesund kommune,Haugesund kommune,Haugesund Municipality,http://www.haugesund.kommune.no,,66,944073787,1106,
26051,post.hs@politiet.no,Haugaland og Sunnhordland politidistrikt,Haugaland og Sunnhordland politidistrikt,Haugaland og Sunnhordland Police District,https://www.politi.no/haugaland_og_sunnhordland/,https://www.politi.no/international/,39,983998380,,29872
26052,nav.nordland@nav.no,NAV Nordland ,NAV Nordland ,NAV Nordland office,http://www.nav.no/page?id=1073743392,http://www.nav.no/English,36,975605779,,26549
26054,nav.oppland@nav.no,NAV Oppland ,NAV Oppland ,NAV Oppland office,http://www.nav.no/page?id=1073743394,http://www.nav.no/English,36,974652218,,26549
